counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/first_language,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/gender,consent_prescreening.block_1/age_years,consent_prescreening.block_1/declare_consent,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_touch.clicked_name,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,251.4113,252.6299,s,0,0.5596,,0.5596,0,252.6318,253.1244,253.1247,253.1256,-0.281481467,0.037037023,0,0,0,,0,60,60,53,1,54,FEM,DIS,150,0,goma,el,4,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,253.1281,255.0966,s,0,1.3105,,1.3105,0,255.0968,255.5906,255.591,255.5919,-0.281481467,0.037037023,0,0,0,,0,61,61,344,1,345,MAS,AGR,150,0,tiempo,el,6,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,255.5957,258.2412,,0,,,1.3105,-1,258.2453,258.7411,258.7417,258.7423,-0.281481467,0.037037023,0,0,0,,0,62,62,17,1,18,FEM,DIS,150,0,boda,el,4,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,258.7468,260.157,l,1,0.735,,0.735,1,260.16,260.6571,260.6625,260.6649,-0.286111111,0.040740712,0,0,0,,0,63,63,222,1,223,MAS,AGR,150,0,taxi,el,4,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,260.6674,263.3068,,0,,,0.735,-1,263.3107,263.8066,263.8072,263.8077,-0.297222222,0.052777778,0,0,0,,0,64,64,483,1,484,FEM,DIS,150,1,gamba,el,5,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,263.8124,265.2895,l,1,0.8037,,0.8037,1,265.2935,265.7885,265.7885,265.7887,-0.304629601,0.066666667,0,0,0,,0,65,65,285,1,286,MAS,DIS,150,0,punto,la,5,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,265.7926,266.6777,l,0,0.2094,,0.2094,0,266.6805,267.1716,267.1716,267.1718,-0.304629601,0.066666667,0,0,0,,0,66,66,541,1,542,MAS,DIS,150,1,gecko,la,5,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,267.1759,268.1393,l,1,0.2872,,0.2872,1,268.142,268.6396,268.6397,268.64,-0.304629601,0.066666667,0,0,0,,0,67,67,409,1,410,MAS,DIS,150,0,objeto,la,6,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,268.6439,269.5402,l,0,0.2237,,0.2237,0,269.544,270.0395,270.0397,270.0401,-0.304629601,0.066666667,0,0,0,,0,68,68,522,1,523,MAS,AGR,150,1,gato,el,4,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,270.0451,270.7398,l,1,0.0198,,0.0198,1,270.7438,271.2399,271.2451,271.248,-0.304629601,0.066666667,0,0,0,,0,69,69,108,1,109,FEM,AGR,150,0,regla,la,5,,,,,
