counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,instr_done_keyboard.rt,instr_done_keyboard.duration,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_touch.clicked_name,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,417.3406,418.4494,s,1,0.4328,,0.4328,1,418.4496,418.9467,418.9468,418.947,0.117592621,-0.366666667,0,0,0,,0,201,201,403,1,404,MAS,AGR,150,0,rastro,el,6,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,418.9488,420.1613,s,1,0.5297,,0.5297,1,420.1615,420.6611,420.6624,420.6634,0.117592621,-0.366666667,0,0,0,,0,202,202,166,1,167,FEM,DIS,150,0,lengua,el,6,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,420.6648,421.7711,l,1,0.4237,,0.4237,1,421.7712,422.2707,422.2708,422.271,0.117592621,-0.366666667,0,0,0,,0,203,203,445,1,446,FEM,AGR,150,1,urraca,la,6,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,422.2734,423.3368,s,1,0.3813,,0.3813,1,423.3369,423.8366,423.8366,423.8369,0.117592621,-0.366666667,0,0,0,,0,204,204,293,1,294,MAS,AGR,150,0,grupo,el,5,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,423.8391,424.8198,s,1,0.2992,,0.2992,1,424.8201,425.3201,425.3203,425.3208,0.117592621,-0.366666667,0,0,0,,0,205,205,271,1,272,MAS,AGR,150,0,amor,el,4,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,425.3226,426.3297,s,1,0.3338,,0.3338,1,426.3298,426.8307,426.8308,426.8309,0.117592621,-0.366666667,0,0,0,,0,206,206,216,1,217,MAS,DIS,150,0,pelo,la,4,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,426.8327,427.7777,s,1,0.2673,,0.2673,1,427.7779,428.2752,428.2753,428.2754,0.117592621,-0.366666667,0,0,0,,0,207,207,224,1,225,MAS,DIS,150,0,dios,la,4,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,428.277,429.2119,s,1,0.2661,,0.2661,1,429.2119,429.7089,429.7106,429.7123,0.117592621,-0.366666667,0,0,0,,0,208,208,295,1,296,MAS,AGR,150,0,avión,el,5,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,429.7137,430.7103,s,1,0.3188,,0.3188,1,430.7104,431.2126,431.2127,431.213,0.117592621,-0.366666667,0,0,0,,0,209,209,101,1,102,FEM,AGR,150,0,tarea,la,5,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,431.2146,432.3516,s,0,0.4514,,0.4514,0,432.3534,432.8513,432.8515,432.8516,0.117592621,-0.366666667,0,0,0,,0,210,210,486,1,487,MAS,DIS,150,1,ganso,la,5,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,432.8534,433.9012,s,1,0.3757,,0.3757,1,433.9033,434.4012,434.4013,434.4014,0.117592621,-0.366666667,0,0,0,,0,211,211,70,1,71,FEM,DIS,150,0,gente,el,5,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,434.403,435.4344,s,1,0.351,,0.351,1,435.4345,435.9344,435.9346,435.9348,0.117592621,-0.366666667,0,0,0,,0,212,212,105,1,106,FEM,AGR,150,0,arena,la,5,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,435.9372,436.934,s,1,0.3119,,0.3119,1,436.9342,437.4338,437.4339,437.434,0.117592621,-0.366666667,0,0,0,,0,213,213,76,1,77,FEM,DIS,150,0,novia,el,5,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,437.4362,438.4168,l,1,0.3165,,0.3165,1,438.4169,438.9168,438.9187,438.9207,0.117592621,-0.366666667,0,0,0,,0,214,214,444,1,445,FEM,DIS,150,1,jirafa,el,6,,,,,
