counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,instr_done_keyboard.rt,instr_done_keyboard.duration,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,170.8184,171.8486,s,1,0.3737,,0.3737,1,171.8487,172.3484,172.3484,172.3485,0.564814815,-0.179166667,0,0,0,,0,73,73,496,1,497,MAS,AGR,150,1,atún,el,4,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,172.3489,173.4429,l,1,0.4361,,0.4361,1,173.4429,173.9464,173.9464,173.9465,0.564814815,-0.179166667,0,0,0,,0,74,74,147,1,148,FEM,DIS,150,0,sangre,el,6,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,173.9469,174.9151,l,1,0.3081,,0.3081,1,174.9151,175.4155,175.4158,175.416,0.564814815,-0.179166667,0,0,0,,0,75,75,311,1,312,MAS,DIS,150,0,nivel,la,5,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,175.4164,176.6373,l,1,0.5609,,0.5609,1,176.6374,177.1375,177.1375,177.1375,0.564814815,-0.179166667,0,0,0,,0,76,76,36,1,37,FEM,AGR,150,0,caza,la,4,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,177.138,178.2167,s,1,0.4236,,0.4236,1,178.2168,178.7141,178.7141,178.7142,0.564814815,-0.179166667,0,0,0,,0,77,77,521,1,522,MAS,DIS,150,1,ganso,la,5,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,178.7147,179.8112,l,1,0.4392,,0.4392,1,179.8113,180.3111,180.3111,180.3112,0.564814815,-0.179166667,0,0,0,,0,78,78,281,1,282,MAS,DIS,150,0,juego,la,5,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,180.3115,181.3179,s,1,0.3493,,0.3493,1,181.318,181.8131,181.8131,181.8131,0.564814815,-0.179166667,0,0,0,,0,79,79,434,1,435,FEM,AGR,150,1,araña,la,5,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,181.8135,182.7994,l,1,0.3259,,0.3259,1,182.7996,183.2972,183.2977,183.2979,0.564814815,-0.179166667,0,0,0,,0,80,80,230,1,231,MAS,AGR,150,0,lago,el,4,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,183.2982,184.3113,l,1,0.3544,,0.3544,1,184.3114,184.8132,184.8132,184.8132,0.564814815,-0.179166667,0,0,0,,0,81,81,144,1,145,FEM,AGR,150,0,ciudad,la,6,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,184.8136,185.7837,l,1,0.307,,0.307,1,185.7838,186.2836,186.2836,186.2836,0.564814815,-0.179166667,0,0,0,,0,82,82,303,1,304,MAS,DIS,150,0,fondo,la,5,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,186.2841,187.2696,s,1,0.3262,,0.3262,1,187.2696,187.7647,187.7648,187.7648,0.564814815,-0.179166667,0,0,0,,0,83,83,464,1,465,FEM,AGR,150,1,cabra,la,5,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,187.7651,188.763,s,1,0.3438,,0.3438,1,188.7631,189.2724,189.2725,189.2726,0.564814815,-0.179166667,0,0,0,,0,84,84,456,1,457,FEM,AGR,150,1,vaca,la,4,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,189.2729,190.2906,l,1,0.3545,,0.3545,1,190.2906,190.7905,190.7905,190.7906,0.564814815,-0.179166667,0,0,0,,0,85,85,304,1,305,MAS,AGR,150,0,hueso,el,5,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,190.791,191.7239,l,1,0.2778,,0.2778,1,191.7241,192.2211,192.2218,192.2221,0.564814815,-0.179166667,0,0,0,,0,86,86,198,1,199,FEM,AGR,150,0,jugada,la,6,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,192.2227,193.1589,l,1,0.2792,,0.2792,1,193.1589,193.6585,193.6585,193.6586,0.564814815,-0.179166667,0,0,0,,0,87,87,354,1,355,MAS,AGR,150,0,marido,el,6,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,193.6591,194.6029,l,1,0.2785,,0.2785,1,194.603,195.1029,195.1031,195.1031,0.564814815,-0.179166667,0,0,0,,0,88,88,171,1,172,FEM,DIS,150,0,gracia,el,6,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,195.1035,196.2141,l,1,0.4514,,0.4514,1,196.2141,196.7141,196.7142,196.7142,0.564814815,-0.179166667,0,0,0,,0,89,89,110,1,111,FEM,AGR,150,0,torre,la,5,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,196.7145,197.7141,l,1,0.3406,,0.3406,1,197.7142,198.2094,198.2094,198.2094,0.564814815,-0.179166667,0,0,0,,0,90,90,231,1,232,MAS,DIS,150,0,vaso,la,4,,,,
