counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,instr_done_keyboard.rt,instr_done_keyboard.duration,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,174.2702,174.9665,l,1,0.0236,1,174.9694,175.4649,0.0236,,175.465,175.4656,0.492872807,-0.499451754,0,0,0,,0,24,24,297,1,298,MAS,AGR,150,0,honor,el,5,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,175.47,176.3126,s,0,0.169,0,176.316,176.8158,0.169,,176.8211,176.8232,0.492872807,-0.499451754,0,0,0,,0,25,25,8,1,9,FEM,DIS,150,0,cama,el,4,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,176.8252,177.5513,l,1,0.0569,1,177.5541,178.0496,0.0569,,178.0498,178.0503,0.492872807,-0.499451754,0,0,0,,0,26,26,2,1,3,FEM,DIS,150,0,cosa,el,4,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,178.0544,178.8975,s,0,0.1692,0,178.9013,179.4011,0.1692,,179.4015,179.4021,0.492872807,-0.499451754,0,0,0,,0,27,27,10,1,11,FEM,DIS,150,0,ropa,el,4,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,179.407,180.4648,l,1,0.3853,1,180.4681,180.9691,0.3853,,180.9694,180.9699,0.492872807,-0.499451754,0,0,0,,0,28,28,88,1,89,FEM,DIS,150,0,pista,el,5,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,180.975,181.7888,l,1,0.141,1,181.789,182.2863,0.141,,182.2865,182.2871,0.492872807,-0.499451754,0,0,0,,0,29,29,128,1,129,FEM,DIS,150,0,tarta,el,5,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,182.2914,183.1331,l,0,0.1684,0,183.1361,183.6372,0.1684,,183.6431,183.6462,0.492872807,-0.499451754,0,0,0,,0,30,30,502,1,503,MAS,DIS,150,1,lince,la,5,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,183.6497,184.3552,l,1,0.0371,1,184.3583,184.8548,0.0371,,184.855,184.8556,0.492872807,-0.499451754,0,0,0,,0,31,31,216,1,217,MAS,DIS,150,0,pelo,la,4,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,184.8605,185.7193,s,0,0.1857,0,185.7226,186.2226,0.1857,,186.2227,186.2232,0.492872807,-0.499451754,0,0,0,,0,32,32,29,1,30,FEM,AGR,150,0,moda,la,4,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,186.228,187.0727,l,1,0.1683,1,187.0762,187.5733,0.1683,,187.5735,187.5739,0.492872807,-0.499451754,0,0,0,,0,33,33,203,1,204,FEM,AGR,150,0,toalla,la,6,,,,
