counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,instr_done_keyboard.rt,instr_done_keyboard.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1015.8393,1016.9695,s,1,0.4502,,0.4502,1,1016.9699,1017.4687,,,1017.4688,1017.4691,-0.133333333,-0.387037037,0,0,0,,0,451,451,479,1,480,FEM,DIS,150,1,jirafa,el,6,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1017.4711,1018.9672,s,1,0.8226,,0.8226,1,1018.9674,1019.467,,,1019.4674,1019.468,-0.133333333,-0.387037037,0,0,0,,0,452,452,549,1,550,MAS,DIS,150,1,chacal,la,6,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1019.4693,1020.5822,l,1,0.4401,,0.4401,1,1020.5824,1021.082,,,1021.0848,1021.0852,-0.133333333,-0.387037037,0,0,0,,0,453,453,15,1,16,FEM,DIS,150,0,edad,el,4,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1021.0856,1022.9482,s,1,1.1831,,1.1831,1,1022.9486,1023.4473,,,1023.4477,1023.4481,-0.133333333,-0.387037037,0,0,0,,0,454,454,540,1,541,MAS,AGR,150,1,pulpo,el,5,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1023.4494,1024.5452,s,1,0.4128,,0.4128,1,1024.5455,1025.0367,,,1025.0368,1025.0368,-0.133333333,-0.387037037,0,0,0,,0,455,455,467,1,468,FEM,DIS,150,1,oveja,el,5,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1025.0375,1026.1361,l,1,0.4314,,0.4314,1,1026.1361,1026.6279,,,1026.6281,1026.6284,-0.133333333,-0.387037037,0,0,0,,0,456,456,98,1,99,FEM,AGR,150,0,salud,la,5,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1026.6302,1027.9438,l,1,0.6342,,0.6342,1,1027.944,1028.4428,,,1028.443,1028.4433,-0.133333333,-0.387037037,0,0,0,,0,457,457,170,1,171,FEM,AGR,150,0,teoría,la,6,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1028.4455,1029.4922,l,1,0.3562,,0.3562,1,1029.4924,1029.9915,,,1029.9942,1029.9947,-0.133333333,-0.387037037,0,0,0,,0,458,458,283,1,284,MAS,DIS,150,0,poder,la,5,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1029.9952,1031.6073,s,1,0.9357,,0.9357,1,1031.6078,1032.1059,,,1032.106,1032.1061,-0.133333333,-0.387037037,0,0,0,,0,459,459,493,1,494,MAS,DIS,150,1,toro,la,4,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1032.1089,1033.5884,s,1,0.801,,0.801,1,1033.5887,1034.0885,,,1034.0887,1034.0891,-0.133333333,-0.387037037,0,0,0,,0,460,460,472,1,473,FEM,AGR,150,1,paloma,la,6,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1034.0913,1035.6621,s,1,0.9003,,0.9003,1,1035.6621,1036.1542,,,1036.1544,1036.1547,-0.133333333,-0.387037037,0,0,0,,0,461,461,516,1,517,MAS,AGR,150,1,búho,el,4,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1036.1567,1037.2359,l,1,0.4003,,0.4003,1,1037.2361,1037.7351,,,1037.7354,1037.7357,-0.133333333,-0.387037037,0,0,0,,0,462,462,6,1,7,FEM,AGR,150,0,hija,la,4,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1037.7377,1038.8849,s,1,0.4666,,0.4666,1,1038.8854,1039.3835,,,1039.3836,1039.3838,-0.133333333,-0.387037037,0,0,0,,0,463,463,466,1,467,FEM,AGR,150,1,morsa,la,5,,,,
