counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,instr_done_keyboard.rt,instr_done_keyboard.duration,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,859faacb34dfc16148e67843,67d30250bc6dd184d4aaad81,67d89cdcde4d263c6ac741b1,2025-03-17_16h09.12.129,Tarea de clasificación semántica,2024.2.5,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,900.8266,901.675,s,1,0.1669,1,901.6752,902.1754,0.1669,,902.1754,902.1756,0.60917494,-0.460404867,0,0,0,,0,505,505,363,1,364,MAS,AGR,150,0,precio,el,6,,,,
,,,,,,,859faacb34dfc16148e67843,67d30250bc6dd184d4aaad81,67d89cdcde4d263c6ac741b1,2025-03-17_16h09.12.129,Tarea de clasificación semántica,2024.2.5,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,902.1769,903.092,s,1,0.2347,1,903.0921,903.5915,0.2347,,903.5917,903.5918,0.60917494,-0.460404867,0,0,0,,0,506,506,80,1,81,FEM,DIS,150,0,mitad,el,5,,,,
,,,,,,,859faacb34dfc16148e67843,67d30250bc6dd184d4aaad81,67d89cdcde4d263c6ac741b1,2025-03-17_16h09.12.129,Tarea de clasificación semántica,2024.2.5,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,903.5931,904.4422,s,1,0.1713,1,904.4423,904.941,0.1713,,904.9412,904.9412,0.60917494,-0.460404867,0,0,0,,0,507,507,389,1,390,MAS,AGR,150,0,examen,el,6,,,,
,,,,,,,859faacb34dfc16148e67843,67d30250bc6dd184d4aaad81,67d89cdcde4d263c6ac741b1,2025-03-17_16h09.12.129,Tarea de clasificación semántica,2024.2.5,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,904.9426,905.7912,s,0,0.1922,0,905.7919,906.2916,0.1922,,906.293,906.2948,0.60917494,-0.460404867,0,0,0,,0,508,508,508,1,509,MAS,DIS,150,1,pájaro,la,6,,,,
,,,,,,,859faacb34dfc16148e67843,67d30250bc6dd184d4aaad81,67d89cdcde4d263c6ac741b1,2025-03-17_16h09.12.129,Tarea de clasificación semántica,2024.2.5,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,906.2962,907.2919,s,1,0.3169,1,907.2931,907.7919,0.3169,,907.792,907.7922,0.60917494,-0.460404867,0,0,0,,0,509,509,409,1,410,MAS,AGR,150,0,objeto,el,6,,,,
,,,,,,,859faacb34dfc16148e67843,67d30250bc6dd184d4aaad81,67d89cdcde4d263c6ac741b1,2025-03-17_16h09.12.129,Tarea de clasificación semántica,2024.2.5,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,907.7935,908.7081,s,1,0.2381,1,908.7081,909.2084,0.2381,,909.2084,909.2086,0.60917494,-0.460404867,0,0,0,,0,510,510,306,1,307,MAS,DIS,150,0,huevo,la,5,,,,
,,,,,,,859faacb34dfc16148e67843,67d30250bc6dd184d4aaad81,67d89cdcde4d263c6ac741b1,2025-03-17_16h09.12.129,Tarea de clasificación semántica,2024.2.5,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,909.21,910.4418,s,1,0.5586,1,910.4418,910.9424,0.5586,,910.9425,910.9426,0.60917494,-0.460404867,0,0,0,,0,511,511,65,1,66,FEM,AGR,150,0,cera,la,4,,,,
,,,,,,,859faacb34dfc16148e67843,67d30250bc6dd184d4aaad81,67d89cdcde4d263c6ac741b1,2025-03-17_16h09.12.129,Tarea de clasificación semántica,2024.2.5,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,910.9443,911.8425,s,1,0.2236,1,911.8425,912.3427,0.2236,,912.3427,912.3429,0.60917494,-0.460404867,0,0,0,,0,512,512,230,1,231,MAS,DIS,150,0,lago,la,4,,,,
,,,,,,,859faacb34dfc16148e67843,67d30250bc6dd184d4aaad81,67d89cdcde4d263c6ac741b1,2025-03-17_16h09.12.129,Tarea de clasificación semántica,2024.2.5,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,912.3444,913.2425,s,1,0.2237,1,913.2425,913.7417,0.2237,,913.7418,913.7419,0.60917494,-0.460404867,0,0,0,,0,513,513,64,1,65,FEM,DIS,150,0,pipa,el,4,,,,
,,,,,,,859faacb34dfc16148e67843,67d30250bc6dd184d4aaad81,67d89cdcde4d263c6ac741b1,2025-03-17_16h09.12.129,Tarea de clasificación semántica,2024.2.5,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,913.7431,914.6581,s,1,0.2566,1,914.6583,915.1592,0.2566,,915.1603,915.1615,0.60917494,-0.460404867,0,0,0,,0,514,514,356,1,357,MAS,DIS,150,0,asunto,la,6,,,,
,,,,,,,859faacb34dfc16148e67843,67d30250bc6dd184d4aaad81,67d89cdcde4d263c6ac741b1,2025-03-17_16h09.12.129,Tarea de clasificación semántica,2024.2.5,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,915.1623,916.1263,s,1,0.2826,1,916.1264,916.6263,0.2826,,916.6264,916.6265,0.60917494,-0.460404867,0,0,0,,0,515,515,43,1,44,FEM,AGR,150,0,masa,la,4,,,,
,,,,,,,859faacb34dfc16148e67843,67d30250bc6dd184d4aaad81,67d89cdcde4d263c6ac741b1,2025-03-17_16h09.12.129,Tarea de clasificación semántica,2024.2.5,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,916.6277,917.5428,s,0,0.2383,0,917.5439,918.043,0.2383,,918.0431,918.0432,0.60917494,-0.460404867,0,0,0,,0,516,516,519,1,520,MAS,AGR,150,1,gallo,el,5,,,,
