counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,instr_done_touch.clicked_name,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_touch.clicked_name,End.started,End.stopped
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,968.2252,969.3656,s,1,0.4801,,0.4801,1,969.3681,969.8595,969.8597,969.8613,-0.084635417,-0.403645833,0,0,0,,0,535,535,128,1,129,FEM,AGR,150,0,tarta,la,5,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,969.8653,970.9861,l,1,0.4518,,0.4518,1,970.9864,971.4844,971.4891,971.4928,-0.084635417,-0.403645833,0,0,0,,0,536,536,478,1,479,FEM,AGR,150,1,nutria,la,6,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,971.496,972.5102,s,1,0.3365,,0.3365,1,972.5104,973.0091,973.0093,973.0097,-0.084635417,-0.403645833,0,0,0,,0,537,537,308,1,309,MAS,AGR,150,0,valor,el,5,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,973.0152,974.0268,s,1,0.3377,,0.3377,1,974.0271,974.5255,974.5257,974.5275,-0.084635417,-0.403645833,0,0,0,,0,538,538,337,1,338,MAS,DIS,150,0,grado,la,5,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,974.5318,975.5027,s,1,0.2834,,0.2834,1,975.5029,975.9924,975.9925,975.993,-0.084635417,-0.403645833,0,0,0,,0,539,539,189,1,190,FEM,DIS,150,0,moneda,el,6,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,975.9981,976.9493,s,1,0.2799,,0.2799,1,976.9494,977.4433,977.4433,977.4443,-0.084635417,-0.403645833,0,0,0,,0,540,540,100,1,101,FEM,AGR,150,0,magia,la,5,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,977.4487,978.4695,s,1,0.3575,,0.3575,1,978.4697,978.9674,978.9675,978.9678,-0.084635417,-0.403645833,0,0,0,,0,541,541,299,1,300,MAS,DIS,150,0,papel,la,5,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,978.9706,980.0362,l,1,0.3859,,0.3859,1,980.0363,980.5334,980.5376,980.5397,-0.084635417,-0.403645833,0,0,0,,0,542,542,498,1,499,MAS,AGR,150,1,cerdo,el,5,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,980.5438,981.6738,s,1,0.4541,,0.4541,1,981.6747,982.1627,982.1629,982.1634,-0.084635417,-0.403645833,0,0,0,,0,543,543,415,1,416,MAS,DIS,150,0,aceite,la,6,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,982.168,983.1693,s,1,0.3354,,0.3354,1,983.1694,983.6619,983.662,983.6623,-0.084635417,-0.403645833,0,0,0,,0,544,544,389,1,390,MAS,DIS,150,0,examen,la,6,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,983.6651,984.8205,l,1,0.4868,,0.4868,1,984.8211,985.3116,985.3117,985.3121,-0.084635417,-0.403645833,0,0,0,,0,545,545,523,1,524,MAS,DIS,150,1,mono,la,4,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,985.3155,986.4043,s,1,0.4254,,0.4254,1,986.4046,986.8948,986.8948,986.8955,-0.084635417,-0.403645833,0,0,0,,0,546,546,364,1,365,MAS,AGR,150,0,abuelo,el,6,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,986.8991,987.9054,s,1,0.335,,0.335,1,987.9063,988.3946,988.398,988.4001,-0.084635417,-0.403645833,0,0,0,,0,547,547,236,1,237,MAS,AGR,150,0,muro,el,4,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,988.4031,989.4285,s,1,0.3538,,0.3538,1,989.4287,989.9287,989.9289,989.9292,-0.084635417,-0.403645833,0,0,0,,0,548,548,153,1,154,FEM,DIS,150,0,cárcel,el,6,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,989.933,990.9273,s,1,0.3198,,0.3198,1,990.9275,991.4285,991.4286,991.429,-0.084635417,-0.403645833,0,0,0,,0,549,549,6,1,7,FEM,AGR,150,0,hija,la,4,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,991.4327,992.3787,s,1,0.2712,,0.2712,1,992.3789,992.8774,992.8775,992.8778,-0.084635417,-0.403645833,0,0,0,,0,550,550,111,1,112,FEM,DIS,150,0,deuda,el,5,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,992.8817,994.1131,l,1,0.5525,,0.5525,1,994.1135,994.6116,994.6118,994.6121,-0.084635417,-0.403645833,0,0,0,,0,551,551,448,1,449,FEM,AGR,150,1,gamba,la,5,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,994.6152,995.7003,s,1,0.4119,,0.4119,1,995.7004,996.1947,996.1948,996.1955,-0.084635417,-0.403645833,0,0,0,,0,552,552,238,1,239,MAS,AGR,150,0,pozo,el,4,,,
,,,,,,,ca56deebd4b0e1101bfbd867,67d30250bc6dd184d4aaad81,67d818efe7c3adf3abeae76e,2025-03-17_13h44.11.880,Tarea de clasificación semántica,2024.2.5,Win32,67.56756757,,,,,,,,,,,,,,,,,,,,,,,,996.1988,997.3997,s,1,0.5308,,0.5308,1,997.3999,997.8944,997.8985,997.9008,-0.084635417,-0.403645833,0,0,0,,0,553,553,127,1,128,FEM,DIS,150,0,oreja,el,5,,,
