counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,255.6311,256.9095,s,0,0.6066,0,256.9123,257.4086,0.6066,,257.4088,257.4094,-0.36328125,-0.376302083,0,0,0,,0,5,5,467,1,468,FEM,DIS,150,1,oveja,el,5,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,257.412,258.6073,s,1,0.5175,1,258.6096,259.1069,0.5175,,259.1071,259.1077,-0.36328125,-0.376302083,0,0,0,,0,6,6,38,1,39,FEM,AGR,150,0,cima,la,4,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,259.1102,260.4908,l,0,0.7112,0,260.4924,260.9881,0.7112,,260.9883,260.9887,-0.36328125,-0.376302083,0,0,0,,0,7,7,19,1,20,FEM,DIS,150,0,obra,el,4,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,260.9918,262.0533,l,1,0.3852,1,262.0556,262.5527,0.3852,,262.5562,262.5581,-0.36328125,-0.376302083,0,0,0,,0,8,8,459,1,460,FEM,DIS,150,1,orca,el,4,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,262.5599,263.7349,s,1,0.5073,1,263.7352,264.2341,0.5073,,264.2343,264.2348,-0.36328125,-0.376302083,0,0,0,,0,9,9,141,1,142,FEM,DIS,150,0,suerte,el,6,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,264.2373,265.3994,l,1,0.4865,1,265.3997,265.8988,0.4865,,265.899,265.8994,-0.36328125,-0.376302083,0,0,0,,0,10,10,421,1,422,FEM,DIS,150,1,vaca,el,4,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,265.902,267.282,s,1,0.7109,1,267.2821,267.7801,0.7109,,267.7803,267.7806,-0.36328125,-0.376302083,0,0,0,,0,11,11,75,1,76,FEM,DIS,150,0,calle,el,5,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,267.7834,269.2284,l,0,0.7697,0,269.2307,269.7278,0.7697,,269.7279,269.7282,-0.36328125,-0.376302083,0,0,0,,0,12,12,93,1,94,FEM,DIS,150,0,silla,el,5,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,269.731,270.8932,s,1,0.4849,1,270.8953,271.3925,0.4849,,271.3964,271.3984,-0.36328125,-0.376302083,0,0,0,,0,13,13,120,1,121,FEM,AGR,150,0,prima,la,5,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,271.4002,272.558,l,1,0.4882,1,272.5582,273.0573,0.4882,,273.0575,273.0579,-0.36328125,-0.376302083,0,0,0,,0,14,14,424,1,425,FEM,AGR,150,1,orca,la,4,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,273.061,274.4061,s,1,0.6709,1,274.4063,274.9052,0.6709,,274.9053,274.9057,-0.36328125,-0.376302083,0,0,0,,0,15,15,128,1,129,FEM,AGR,150,0,tarta,la,5,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,274.9083,276.0872,s,1,0.5062,1,276.0875,276.587,0.5062,,276.5872,276.5875,-0.36328125,-0.376302083,0,0,0,,0,16,16,393,1,394,MAS,DIS,150,0,abrigo,la,6,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,276.5902,277.9682,l,0,0.701,0,277.9703,278.4676,0.701,,278.4678,278.4681,-0.36328125,-0.376302083,0,0,0,,0,17,17,51,1,52,FEM,DIS,150,0,gota,el,4,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,278.4709,279.6497,s,0,0.5018,0,279.65,280.1492,0.5018,,280.1494,280.1498,-0.36328125,-0.376302083,0,0,0,,0,18,18,493,1,494,MAS,DIS,150,1,toro,la,4,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,280.1523,281.3161,s,1,0.4945,1,281.3181,281.8138,0.4945,,281.8177,281.8194,-0.36328125,-0.376302083,0,0,0,,0,19,19,386,1,387,MAS,AGR,150,0,empleo,el,6,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,281.8212,283.1122,l,0,0.6179,0,283.1145,283.6117,0.6179,,283.6118,283.6123,-0.36328125,-0.376302083,0,0,0,,0,20,20,7,1,8,FEM,DIS,150,0,cara,el,4,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,283.6148,284.8604,l,1,0.5676,1,284.8624,285.3597,0.5676,,285.3598,285.3602,-0.36328125,-0.376302083,0,0,0,,0,21,21,418,1,419,FEM,AGR,150,1,rana,la,4,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,285.3626,286.5749,s,1,0.5367,1,286.5751,287.0744,0.5367,,287.0745,287.0749,-0.36328125,-0.376302083,0,0,0,,0,22,22,135,1,136,FEM,DIS,150,0,grasa,el,5,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,287.0778,288.2234,s,1,0.4677,1,288.2236,288.7225,0.4677,,288.7227,288.723,-0.36328125,-0.376302083,0,0,0,,0,23,23,275,1,276,MAS,DIS,150,0,mundo,la,5,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,288.7256,290.0044,s,1,0.6032,1,290.0046,290.5039,0.6032,,290.5041,290.5044,-0.36328125,-0.376302083,0,0,0,,0,24,24,202,1,203,FEM,AGR,150,0,niebla,la,6,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,290.508,291.7695,s,1,0.5928,1,291.7699,292.2684,0.5928,,292.2723,292.274,-0.36328125,-0.376302083,0,0,0,,0,25,25,313,1,314,MAS,DIS,150,0,golpe,la,5,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,292.2757,293.5671,s,1,0.622,1,293.5674,294.0665,0.622,,294.0666,294.0669,-0.36328125,-0.376302083,0,0,0,,0,26,26,15,1,16,FEM,DIS,150,0,edad,el,4,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,294.0696,295.2484,l,0,0.5095,0,295.2506,295.7475,0.5095,,295.7477,295.7479,-0.36328125,-0.376302083,0,0,0,,0,27,27,316,1,317,MAS,AGR,150,0,ruido,el,5,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,295.7505,296.8633,l,0,0.4348,0,296.8637,297.3626,0.4348,,297.3628,297.3631,-0.36328125,-0.376302083,0,0,0,,0,28,28,174,1,175,FEM,AGR,150,0,cadena,la,6,,,,
