counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,instr_done_keyboard.rt,instr_done_keyboard.duration,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,317.2922,318.4133,s,1,0.4611,,0.4611,1,318.4134,318.9133,318.9134,318.9134,0.127083355,-0.499305619,0,0,0,,0,126,126,8,1,9,FEM,AGR,150,0,cama,la,4,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,318.9139,319.9411,l,1,0.3692,,0.3692,1,319.9411,320.4411,320.4411,320.4413,0.127083355,-0.499305619,0,0,0,,0,127,127,515,1,516,MAS,DIS,150,1,ratón,la,5,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,320.4417,321.4577,s,1,0.3548,,0.3548,1,321.4578,321.9577,321.9577,321.9578,0.127083355,-0.499305619,0,0,0,,0,128,128,377,1,378,MAS,DIS,150,0,seguro,la,6,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,321.9582,322.9799,s,1,0.3626,,0.3626,1,322.9799,323.4799,323.4799,323.48,0.127083355,-0.499305619,0,0,0,,0,129,129,48,1,49,FEM,AGR,150,0,fama,la,4,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,323.4804,324.4576,s,1,0.3182,,0.3182,1,324.4577,324.9576,324.9581,324.9584,0.127083355,-0.499305619,0,0,0,,0,130,130,403,1,404,MAS,DIS,150,0,rastro,la,6,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,324.9587,326.0799,l,1,0.4614,,0.4614,1,326.0799,326.5798,326.5799,326.5799,0.127083355,-0.499305619,0,0,0,,0,131,131,502,1,503,MAS,AGR,150,1,lince,el,5,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,326.5803,327.4854,s,1,0.2477,,0.2477,1,327.4855,327.9855,327.9855,327.9855,0.127083355,-0.499305619,0,0,0,,0,132,132,367,1,368,MAS,DIS,150,0,anillo,la,6,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,327.9859,329.0687,l,1,0.4246,,0.4246,1,329.0687,329.5687,329.5688,329.5688,0.127083355,-0.499305619,0,0,0,,0,133,133,457,1,458,FEM,DIS,150,1,mula,el,4,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,329.5693,330.5909,l,1,0.3605,,0.3605,1,330.5911,331.091,331.091,331.0911,0.127083355,-0.499305619,0,0,0,,0,134,134,484,1,485,FEM,AGR,150,1,víbora,la,6,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,331.0914,332.0409,s,1,0.289,,0.289,1,332.041,332.541,332.541,332.5411,0.127083355,-0.499305619,0,0,0,,0,135,135,376,1,377,MAS,AGR,150,0,riesgo,el,6,,,,
