counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,consent_prescreening.block_1/declare_consent,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,145.4357,146.7823,s,1,0.6894,,0.6894,1,146.7827,147.2823,147.2824,147.2824,0.819444444,-0.051851852,0,0,0,,0,21,21,494,1,495,MAS,DIS,150,1,topo,la,4,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,147.283,148.4837,l,1,0.5419,,0.5419,1,148.4838,148.9837,148.9837,148.9838,0.819444444,-0.051851852,0,0,0,,0,22,22,82,1,83,FEM,DIS,150,0,línea,el,5,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,148.9844,150.1851,l,1,0.5419,,0.5419,1,150.1851,150.685,150.6852,150.6852,0.819444444,-0.051851852,0,0,0,,0,23,23,66,1,67,FEM,DIS,150,0,bota,el,4,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,150.6857,151.8309,l,1,0.489,,0.489,1,151.831,152.3309,152.3309,152.331,0.819444444,-0.051851852,0,0,0,,0,24,24,383,1,384,MAS,AGR,150,0,teatro,el,6,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,152.3316,153.6156,s,0,0.6238,,0.6238,0,153.6161,154.1156,154.1164,154.1167,0.819444444,-0.051851852,0,0,0,,0,25,25,409,1,410,MAS,AGR,150,0,objeto,el,6,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,154.1171,155.2476,s,0,0.4749,,0.4749,0,155.2476,155.7476,155.7476,155.7477,0.819444444,-0.051851852,0,0,0,,0,26,26,65,1,66,FEM,AGR,150,0,cera,la,4,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,155.7481,156.8797,l,1,0.4764,,0.4764,1,156.8801,157.3794,157.3795,157.3795,0.819444444,-0.051851852,0,0,0,,0,27,27,288,1,289,MAS,DIS,150,0,cielo,la,5,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,157.3801,158.6017,s,0,0.5626,,0.5626,0,158.6022,159.1017,159.1018,159.1018,0.819444444,-0.051851852,0,0,0,,0,28,28,49,1,50,FEM,AGR,150,0,vela,la,4,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,159.1023,160.2128,l,1,0.4546,,0.4546,1,160.2131,160.716,160.7161,160.7162,0.819444444,-0.051851852,0,0,0,,0,29,29,4,1,5,FEM,DIS,150,0,idea,el,4,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,160.7168,161.9142,l,1,0.5367,,0.5367,1,161.9142,162.4141,162.4148,162.4152,0.819444444,-0.051851852,0,0,0,,0,30,30,305,1,306,MAS,AGR,150,0,éxito,el,5,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,162.4155,163.553,l,1,0.4793,,0.4793,1,163.553,164.0531,164.0531,164.0531,0.819444444,-0.051851852,0,0,0,,0,31,31,149,1,150,FEM,AGR,150,0,comida,la,6,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,164.0537,165.2336,l,1,0.5209,,0.5209,1,165.2336,165.7336,165.7336,165.7336,0.819444444,-0.051851852,0,0,0,,0,32,32,3,1,4,FEM,AGR,150,0,hora,la,4,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,165.7341,166.9835,l,1,0.5905,,0.5905,1,166.9836,167.4835,167.4836,167.4837,0.819444444,-0.051851852,0,0,0,,0,33,33,186,1,187,FEM,DIS,150,0,charla,el,6,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,167.4841,168.6155,s,0,0.4727,,0.4727,0,168.616,169.1154,169.1155,169.1155,0.819444444,-0.051851852,0,0,0,,0,34,34,295,1,296,MAS,AGR,150,0,avión,el,5,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,169.1161,170.3862,s,1,0.6112,,0.6112,1,170.3868,170.8863,170.8863,170.8864,0.819444444,-0.051851852,0,0,0,,0,35,35,504,1,505,MAS,DIS,150,1,cisne,la,5,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,170.8869,172.0321,s,1,0.4873,,0.4873,1,172.0322,172.5321,172.5329,172.5332,0.819444444,-0.051851852,0,0,0,,0,36,36,435,1,436,FEM,AGR,150,1,abeja,la,5,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,172.5336,173.6363,s,1,0.4445,,0.4445,1,173.6364,174.1362,174.1363,174.1363,0.819444444,-0.051851852,0,0,0,,0,37,37,511,1,512,MAS,AGR,150,1,gorila,el,6,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,174.137,175.3307,s,0,0.5377,,0.5377,0,175.3311,175.8307,175.8307,175.8308,0.819444444,-0.051851852,0,0,0,,0,38,38,257,1,258,MAS,AGR,150,0,baúl,el,4,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,175.8313,177.1363,l,1,0.646,,0.646,1,177.1367,177.6362,177.6363,177.6363,0.819444444,-0.051851852,0,0,0,,0,39,39,252,1,253,MAS,DIS,150,0,test,la,4,,,,
