counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,instr_done_touch.clicked_name,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,break_done_touch.clicked_name,End.started,End.stopped
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,711.8198,713.0308,s,1,0.5389,,0.5389,1,713.0309,713.5646,,713.5648,713.5649,-0.111754964,-0.398321601,0,0,0,,0,248,248,381,1,382,MAS,AGR,150,0,jardín,el,6,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,713.5659,715.0626,s,1,0.8158,,0.8158,1,715.0627,715.5635,,715.5637,715.5638,-0.111754964,-0.398321601,0,0,0,,0,249,249,192,1,193,FEM,DIS,150,0,cabina,el,6,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,715.5653,716.5999,s,1,0.36,,0.36,1,716.5999,717.0948,,717.0949,717.095,-0.111754964,-0.398321601,0,0,0,,0,250,250,3,1,4,FEM,AGR,150,0,hora,la,4,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,717.0966,718.1112,s,1,0.3403,,0.3403,1,718.1112,718.6111,,718.6112,718.6114,-0.111754964,-0.398321601,0,0,0,,0,251,251,230,1,231,MAS,DIS,150,0,lago,la,4,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,718.6128,719.6096,s,0,0.3216,,0.3216,0,719.6102,720.1105,,720.1121,720.1144,-0.111754964,-0.398321601,0,0,0,,0,252,252,435,1,436,FEM,AGR,150,1,abeja,la,5,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,720.1157,721.2103,l,1,0.4223,,0.4223,1,721.2111,721.7084,,721.7084,721.7086,-0.111754964,-0.398321601,0,0,0,,0,253,253,527,1,528,MAS,AGR,150,1,pato,el,4,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,721.71,722.7907,s,1,0.3983,,0.3983,1,722.7908,723.2924,,723.2925,723.2927,-0.111754964,-0.398321601,0,0,0,,0,254,254,210,1,211,MAS,DIS,150,0,niño,la,4,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,723.2938,724.54,l,0,0.5648,,0.5648,0,724.5409,725.0409,,725.0409,725.041,-0.111754964,-0.398321601,0,0,0,,0,255,255,263,1,264,MAS,AGR,150,0,yate,el,4,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,725.0422,726.126,s,1,0.4092,,0.4092,1,726.1269,726.6228,,726.6228,726.6229,-0.111754964,-0.398321601,0,0,0,,0,256,256,119,1,120,FEM,AGR,150,0,tribu,la,5,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,726.6241,727.5576,s,0,0.2554,,0.2554,0,727.5583,728.0542,,728.0543,728.0544,-0.111754964,-0.398321601,0,0,0,,0,257,257,483,1,484,FEM,AGR,150,1,gamba,la,5,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,728.0556,728.9703,s,1,0.2312,,0.2312,1,728.9709,729.4694,,729.4705,729.4719,-0.111754964,-0.398321601,0,0,0,,0,258,258,157,1,158,FEM,AGR,150,0,abuela,la,6,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,729.4733,730.4539,s,1,0.2893,,0.2893,1,730.4541,730.9531,,730.9532,730.9535,-0.111754964,-0.398321601,0,0,0,,0,259,259,2,1,3,FEM,DIS,150,0,cosa,el,4,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,730.9552,731.8193,s,0,0.1921,,0.1921,0,731.8201,732.3247,,732.3248,732.325,-0.111754964,-0.398321601,0,0,0,,0,260,260,522,1,523,MAS,DIS,150,1,gato,la,4,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,732.3261,733.3512,s,1,0.3488,,0.3488,1,733.3521,733.8512,,733.8513,733.8515,-0.111754964,-0.398321601,0,0,0,,0,261,261,99,1,100,FEM,AGR,150,0,cinta,la,5,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,733.853,734.951,s,0,0.3728,,0.3728,0,734.9525,735.4395,,735.4396,735.4397,-0.111754964,-0.398321601,0,0,0,,0,262,262,441,1,442,FEM,AGR,150,1,gacela,la,6,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,735.4406,736.334,s,1,0.233,,0.233,1,736.3348,736.8265,,736.8266,736.8268,-0.111754964,-0.398321601,0,0,0,,0,263,263,389,1,390,MAS,AGR,150,0,examen,el,6,,,,,
