counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,401.9536,402.984,l,1,0.3714,1,402.9841,403.4807,0.3714,,403.4809,403.4811,-0.156481496,-0.121296282,0,0,0,,0,100,100,116,1,117,FEM,DIS,150,0,crema,el,5,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,403.4832,404.4408,l,1,0.2998,1,404.441,404.9376,0.2998,,404.9376,404.9377,-0.156481496,-0.121296282,0,0,0,,0,101,101,316,1,317,MAS,DIS,150,0,ruido,la,5,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,404.9385,406.0037,s,0,0.4049,0,406.0054,406.5026,0.4049,,406.5045,406.5056,-0.156481496,-0.121296282,0,0,0,,0,102,102,185,1,186,FEM,AGR,150,0,hierba,la,6,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,406.506,407.4879,l,1,0.3197,1,407.4896,407.9875,0.3197,,407.9876,407.9878,-0.156481496,-0.121296282,0,0,0,,0,103,103,239,1,240,MAS,AGR,150,0,hoyo,el,4,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,407.9902,409.0187,l,1,0.3716,1,409.0189,409.5152,0.3716,,409.5154,409.5157,-0.156481496,-0.121296282,0,0,0,,0,104,104,150,1,151,FEM,DIS,150,0,tierra,el,6,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,409.5183,410.4547,l,1,0.2794,1,410.455,410.9524,0.2794,,410.9526,410.9528,-0.156481496,-0.121296282,0,0,0,,0,105,105,1,1,2,FEM,AGR,150,0,vida,la,4,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,410.9552,411.9792,s,1,0.3676,1,411.9793,412.4804,0.3676,,412.4806,412.4809,-0.156481496,-0.121296282,0,0,0,,0,106,106,435,1,436,FEM,AGR,150,1,abeja,la,5,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,412.4828,413.4195,l,1,0.2784,1,413.4197,413.9179,0.2784,,413.918,413.9182,-0.156481496,-0.121296282,0,0,0,,0,107,107,368,1,369,MAS,DIS,150,0,estilo,la,6,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,413.9205,414.917,l,1,0.338,1,414.9171,415.4179,0.338,,415.4196,415.4209,-0.156481496,-0.121296282,0,0,0,,0,108,108,415,1,416,MAS,AGR,150,0,aceite,el,6,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,415.4213,416.6498,s,1,0.5593,1,416.65,417.1499,0.5593,,417.15,417.15,-0.156481496,-0.121296282,0,0,0,,0,109,109,480,1,481,FEM,DIS,150,1,urraca,el,6,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,417.1505,418.0303,l,1,0.2166,1,418.0307,418.5285,0.2166,,418.5287,418.5289,-0.156481496,-0.121296282,0,0,0,,0,110,110,261,1,262,MAS,AGR,150,0,bate,el,4,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,418.5313,419.4552,l,1,0.2606,1,419.4555,419.9541,0.2606,,419.9542,419.9543,-0.156481496,-0.121296282,0,0,0,,0,111,111,277,1,278,MAS,AGR,150,0,señor,el,5,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,419.9575,420.8769,l,1,0.2572,1,420.8771,421.3776,0.2572,,421.3777,421.3777,-0.156481496,-0.121296282,0,0,0,,0,112,112,296,1,297,MAS,DIS,150,0,hotel,la,5,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,421.3798,422.3695,s,1,0.3279,1,422.3697,422.869,0.3279,,422.8712,422.8723,-0.156481496,-0.121296282,0,0,0,,0,113,113,533,1,534,MAS,AGR,150,1,cerdo,el,5,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,422.8727,423.729,l,1,0.193,1,423.7292,424.2304,0.193,,424.2307,424.2307,-0.156481496,-0.121296282,0,0,0,,0,114,114,309,1,310,MAS,AGR,150,0,color,el,5,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,424.2326,425.3007,s,1,0.4064,1,425.3011,425.8001,0.4064,,425.8003,425.8005,-0.156481496,-0.121296282,0,0,0,,0,115,115,449,1,450,FEM,AGR,150,1,víbora,la,6,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,425.8022,426.8223,l,1,0.3626,1,426.8226,427.3203,0.3626,,427.3203,427.3206,-0.156481496,-0.121296282,0,0,0,,0,116,116,32,1,33,FEM,DIS,150,0,fila,el,4,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,427.3228,428.37,l,1,0.3896,1,428.3703,428.8684,0.3896,,428.8685,428.8686,-0.156481496,-0.121296282,0,0,0,,0,117,117,327,1,328,MAS,AGR,150,0,truco,el,5,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,428.8711,429.8627,s,1,0.3331,1,429.8631,430.3588,0.3331,,430.3589,430.3592,-0.156481496,-0.121296282,0,0,0,,0,118,118,426,1,427,FEM,DIS,150,1,cebra,el,5,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,430.3609,431.2707,l,1,0.2482,1,431.2707,431.7715,0.2482,,431.7734,431.7745,-0.156481496,-0.121296282,0,0,0,,0,119,119,285,1,286,MAS,AGR,150,0,punto,el,5,,,,
