counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_touch.clicked_name,End.started,End.stopped
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,538.1018,539.0734,s,1,0.3167,1,539.0735,539.5734,0.3167,,539.5734,539.5735,0.065740741,-0.400925926,0,0,0,,0,296,296,298,1,299,MAS,DIS,150,0,novio,la,5,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,539.5742,540.6289,s,1,0.397,1,540.629,541.129,0.397,,541.1297,541.1301,0.065740741,-0.400925926,0,0,0,,0,297,297,157,1,158,FEM,AGR,150,0,abuela,la,6,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,541.1305,542.0457,s,1,0.2601,1,542.0458,542.5456,0.2601,,542.5456,542.5457,0.065740741,-0.400925926,0,0,0,,0,298,298,235,1,236,MAS,AGR,150,0,rayo,el,4,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,542.5464,543.5873,s,1,0.3826,1,543.5873,544.0873,0.3826,,544.0873,544.0874,0.065740741,-0.400925926,0,0,0,,0,299,299,165,1,166,FEM,AGR,150,0,piedra,la,6,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,544.0883,545.115,s,1,0.3711,1,545.115,545.6149,0.3711,,545.6149,545.6149,0.065740741,-0.400925926,0,0,0,,0,300,300,210,1,211,MAS,DIS,150,0,niño,la,4,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,545.6156,546.6775,l,1,0.4055,1,546.6775,547.1773,0.4055,,547.1773,547.1774,0.065740741,-0.400925926,0,0,0,,0,301,301,540,1,541,MAS,DIS,150,1,pulpo,la,5,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,547.1781,548.3857,s,1,0.5485,1,548.3857,548.8856,0.5485,,548.8857,548.8857,0.065740741,-0.400925926,0,0,0,,0,302,302,288,1,289,MAS,DIS,150,0,cielo,la,5,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,548.8864,549.9621,l,1,0.4186,1,549.9622,550.462,0.4186,,550.4626,550.4629,0.065740741,-0.400925926,0,0,0,,0,303,303,455,1,456,FEM,AGR,150,1,rata,la,4,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,550.4633,551.5316,s,1,0.4134,1,551.5317,552.0317,0.4134,,552.0317,552.0319,0.065740741,-0.400925926,0,0,0,,0,304,304,6,1,7,FEM,DIS,150,0,hija,el,4,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,552.0328,553.0317,s,1,0.3452,1,553.0318,553.5314,0.3452,,553.5315,553.5315,0.065740741,-0.400925926,0,0,0,,0,305,305,90,1,91,FEM,DIS,150,0,banda,el,5,,,
