counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/age_years,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,instr_done_keyboard.rt,instr_done_keyboard.duration,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_touch.clicked_name,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,545.5609,546.6528,s,1,0.4243,1,546.6529,547.1547,0.4243,,547.1548,547.1549,0.717899306,0.263372396,0,0,0,,0,120,120,343,1,344,MAS,DIS,150,0,túnel,la,5,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,547.1569,548.252,s,1,0.4178,1,548.2522,548.7525,0.4178,,548.7527,548.7528,0.717899306,0.263372396,0,0,0,,0,121,121,86,1,87,FEM,AGR,150,0,llave,la,5,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,548.7552,549.8388,l,1,0.4072,1,549.839,550.3353,0.4072,,550.3354,550.3356,0.717899306,0.263372396,0,0,0,,0,122,122,530,1,531,MAS,AGR,150,1,loro,el,4,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,550.3382,551.4717,l,1,0.4752,1,551.4718,551.97,0.4752,,551.9701,551.9704,0.717899306,0.263372396,0,0,0,,0,123,123,454,1,455,FEM,AGR,150,1,gata,la,4,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,551.9722,553.0021,s,1,0.3662,1,553.0022,553.5026,0.3662,,553.5027,553.5029,0.717899306,0.263372396,0,0,0,,0,124,124,210,1,211,MAS,AGR,150,0,niño,el,4,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,553.5048,554.686,s,1,0.5057,1,554.6861,555.187,0.5057,,555.1889,555.1935,0.717899306,0.263372396,0,0,0,,0,125,125,93,1,94,FEM,DIS,150,0,silla,el,5,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,555.1947,556.3383,l,0,0.4697,0,556.3397,556.837,0.4697,,556.8371,556.8374,0.717899306,0.263372396,0,0,0,,0,126,126,295,1,296,MAS,DIS,150,0,avión,la,5,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,556.84,557.9705,s,1,0.4522,1,557.9723,558.4706,0.4522,,558.4707,558.471,0.717899306,0.263372396,0,0,0,,0,127,127,300,1,301,MAS,AGR,150,0,suelo,el,5,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,558.4742,559.8525,l,1,0.7023,1,559.8526,560.3549,0.7023,,560.3551,560.3554,0.717899306,0.263372396,0,0,0,,0,128,128,492,1,493,MAS,AGR,150,1,pato,el,4,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,560.3573,561.5709,s,1,0.5401,1,561.571,562.0695,0.5401,,562.0696,562.0699,0.717899306,0.263372396,0,0,0,,0,129,129,385,1,386,MAS,DIS,150,0,pedazo,la,6,,,,,
