counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,63236865b1c2f3b9a67adcb2,67d30250bc6dd184d4aaad81,67d8201f4627b311838c1f7c,2025-03-17_14h16.15.905,Tarea de clasificación semántica,2024.2.5,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,833.7142,834.7343,l,1,0.3625,1,834.7343,835.2346,0.3625,,835.2353,835.2357,-0.206481481,0.019444444,0,0,0,,0,297,297,138,1,139,FEM,AGR,150,0,verdad,la,6,,,,
,,,,,,,63236865b1c2f3b9a67adcb2,67d30250bc6dd184d4aaad81,67d8201f4627b311838c1f7c,2025-03-17_14h16.15.905,Tarea de clasificación semántica,2024.2.5,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,835.2361,836.4149,s,1,0.5226,1,836.415,836.9151,0.5226,,836.9151,836.9152,-0.206481481,0.019444444,0,0,0,,0,298,298,470,1,471,FEM,AGR,150,1,abeja,la,5,,,,
,,,,,,,63236865b1c2f3b9a67adcb2,67d30250bc6dd184d4aaad81,67d8201f4627b311838c1f7c,2025-03-17_14h16.15.905,Tarea de clasificación semántica,2024.2.5,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,836.9158,837.9221,l,1,0.3477,1,837.9221,838.4221,0.3477,,838.4221,838.4222,-0.206481481,0.019444444,0,0,0,,0,299,299,85,1,86,FEM,DIS,150,0,prisa,el,5,,,,
,,,,,,,63236865b1c2f3b9a67adcb2,67d30250bc6dd184d4aaad81,67d8201f4627b311838c1f7c,2025-03-17_14h16.15.905,Tarea de clasificación semántica,2024.2.5,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,838.4228,839.8457,l,1,0.764,1,839.8457,840.3459,0.764,,840.3459,840.346,-0.206481481,0.019444444,0,0,0,,0,300,300,203,1,204,FEM,DIS,150,0,toalla,el,6,,,,
,,,,,,,63236865b1c2f3b9a67adcb2,67d30250bc6dd184d4aaad81,67d8201f4627b311838c1f7c,2025-03-17_14h16.15.905,Tarea de clasificación semántica,2024.2.5,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,840.3466,841.4292,l,1,0.424,1,841.4292,841.9289,0.424,,841.9289,841.929,-0.206481481,0.019444444,0,0,0,,0,301,301,295,1,296,MAS,DIS,150,0,avión,la,5,,,,
,,,,,,,63236865b1c2f3b9a67adcb2,67d30250bc6dd184d4aaad81,67d8201f4627b311838c1f7c,2025-03-17_14h16.15.905,Tarea de clasificación semántica,2024.2.5,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,841.9297,843.0122,l,1,0.4281,1,843.0122,843.5122,0.4281,,843.5123,843.5123,-0.206481481,0.019444444,0,0,0,,0,302,302,154,1,155,FEM,AGR,150,0,basura,la,6,,,,
,,,,,,,63236865b1c2f3b9a67adcb2,67d30250bc6dd184d4aaad81,67d8201f4627b311838c1f7c,2025-03-17_14h16.15.905,Tarea de clasificación semántica,2024.2.5,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,843.5129,844.6445,l,1,0.474,1,844.6445,845.1443,0.474,,845.1448,845.1452,-0.206481481,0.019444444,0,0,0,,0,303,303,184,1,185,FEM,AGR,150,0,cuerda,la,6,,,,
,,,,,,,63236865b1c2f3b9a67adcb2,67d30250bc6dd184d4aaad81,67d8201f4627b311838c1f7c,2025-03-17_14h16.15.905,Tarea de clasificación semántica,2024.2.5,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,845.1456,846.2693,l,1,0.4669,1,846.2694,846.7693,0.4669,,846.7693,846.7694,-0.206481481,0.019444444,0,0,0,,0,304,304,98,1,99,FEM,AGR,150,0,salud,la,5,,,,
,,,,,,,63236865b1c2f3b9a67adcb2,67d30250bc6dd184d4aaad81,67d8201f4627b311838c1f7c,2025-03-17_14h16.15.905,Tarea de clasificación semántica,2024.2.5,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,846.7699,847.936,l,1,0.5075,1,847.9361,848.4362,0.5075,,848.4362,848.4362,-0.206481481,0.019444444,0,0,0,,0,305,305,84,1,85,FEM,AGR,150,0,tarde,la,5,,,,
,,,,,,,63236865b1c2f3b9a67adcb2,67d30250bc6dd184d4aaad81,67d8201f4627b311838c1f7c,2025-03-17_14h16.15.905,Tarea de clasificación semántica,2024.2.5,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,848.4369,849.422,l,1,0.3267,1,849.422,849.922,0.3267,,849.9221,849.9221,-0.206481481,0.019444444,0,0,0,,0,306,306,110,1,111,FEM,AGR,150,0,torre,la,5,,,,
