counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,instr_done_keyboard.rt,instr_done_keyboard.duration,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,16a4f58be8fa8ceacbecdd78,67d30250bc6dd184d4aaad81,67d894f3a737c918560e5c13,2025-03-17_14h36.40.098,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,1327.4695,1328.7645,l,0,0.6244,0,1328.7667,1329.2651,0.6244,,1329.2654,1329.2656,0.947222222,-0.200925926,0,0,0,,0,420,420,531,1,532,MAS,AGR,150,1,atún,el,4,,,,
,,,,,,,16a4f58be8fa8ceacbecdd78,67d30250bc6dd184d4aaad81,67d894f3a737c918560e5c13,2025-03-17_14h36.40.098,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,1329.2673,1330.789,l,1,0.8357,1,1330.7903,1331.2823,0.8357,,1331.2823,1331.2827,0.947222222,-0.200925926,0,0,0,,0,421,421,223,1,224,MAS,AGR,150,0,dedo,el,4,,,,
,,,,,,,16a4f58be8fa8ceacbecdd78,67d30250bc6dd184d4aaad81,67d894f3a737c918560e5c13,2025-03-17_14h36.40.098,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,1331.2844,1332.3705,l,1,0.4095,1,1332.3706,1332.8648,0.4095,,1332.8649,1332.865,0.947222222,-0.200925926,0,0,0,,0,422,422,401,1,402,MAS,AGR,150,0,cuento,el,6,,,,
,,,,,,,16a4f58be8fa8ceacbecdd78,67d30250bc6dd184d4aaad81,67d894f3a737c918560e5c13,2025-03-17_14h36.40.098,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,1332.8672,1334.0483,s,1,0.5174,1,1334.0484,1334.5378,0.5174,,1334.538,1334.5384,0.947222222,-0.200925926,0,0,0,,0,423,423,501,1,502,MAS,AGR,150,1,tigre,el,5,,,,
,,,,,,,16a4f58be8fa8ceacbecdd78,67d30250bc6dd184d4aaad81,67d894f3a737c918560e5c13,2025-03-17_14h36.40.098,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,1334.5414,1335.754,l,1,0.5441,1,1335.7542,1336.253,0.5441,,1336.2531,1336.2532,0.947222222,-0.200925926,0,0,0,,0,424,424,74,1,75,FEM,DIS,150,0,clase,el,5,,,,
,,,,,,,16a4f58be8fa8ceacbecdd78,67d30250bc6dd184d4aaad81,67d894f3a737c918560e5c13,2025-03-17_14h36.40.098,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,1336.2552,1337.4051,l,1,0.4774,1,1337.4053,1337.8983,0.4774,,1337.9,1337.9017,0.947222222,-0.200925926,0,0,0,,0,425,425,79,1,80,FEM,AGR,150,0,carta,la,5,,,,
,,,,,,,16a4f58be8fa8ceacbecdd78,67d30250bc6dd184d4aaad81,67d894f3a737c918560e5c13,2025-03-17_14h36.40.098,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,1337.9027,1339.2318,l,1,0.6497,1,1339.2319,1339.7319,0.6497,,1339.7322,1339.7326,0.947222222,-0.200925926,0,0,0,,0,426,426,72,1,73,FEM,DIS,150,0,madre,el,5,,,,
,,,,,,,16a4f58be8fa8ceacbecdd78,67d30250bc6dd184d4aaad81,67d894f3a737c918560e5c13,2025-03-17_14h36.40.098,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,1339.7343,1340.8058,l,1,0.4008,1,1340.806,1341.2982,0.4008,,1341.2983,1341.2984,0.947222222,-0.200925926,0,0,0,,0,427,427,99,1,100,FEM,AGR,150,0,cinta,la,5,,,,
,,,,,,,16a4f58be8fa8ceacbecdd78,67d30250bc6dd184d4aaad81,67d894f3a737c918560e5c13,2025-03-17_14h36.40.098,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,1341.3004,1343.2815,l,1,1.2894,1,1343.2816,1343.7821,1.2894,,1343.7822,1343.7823,0.947222222,-0.200925926,0,0,0,,0,428,428,133,1,134,FEM,AGR,150,0,fruta,la,5,,,,
,,,,,,,16a4f58be8fa8ceacbecdd78,67d30250bc6dd184d4aaad81,67d894f3a737c918560e5c13,2025-03-17_14h36.40.098,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,1343.7847,1344.9058,l,1,0.4611,1,1344.9061,1345.3987,0.4611,,1345.399,1345.3993,0.947222222,-0.200925926,0,0,0,,0,429,429,82,1,83,FEM,DIS,150,0,línea,el,5,,,,
