counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,instr_done_keyboard.rt,instr_done_keyboard.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,373.2987,374.3474,l,1,0.3684,1,374.3475,374.8475,0.3684,,,,374.8477,374.8479,0.219249132,-0.12890191,0,0,0,,0,94,94,405,1,406,MAS,AGR,150,0,pánico,el,6,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,374.8492,375.8809,l,1,0.3529,1,375.8811,376.381,0.3529,,,,376.3812,376.3814,0.219249132,-0.12890191,0,0,0,,0,95,95,57,1,58,FEM,AGR,150,0,loca,la,4,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,376.3829,377.4639,l,1,0.4101,1,377.464,377.9644,0.4101,,,,377.9645,377.9646,0.219249132,-0.12890191,0,0,0,,0,96,96,304,1,305,MAS,DIS,150,0,hueso,la,5,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,377.966,378.9806,l,1,0.3345,1,378.9806,379.4809,0.3345,,,,379.482,379.4829,0.219249132,-0.12890191,0,0,0,,0,97,97,152,1,153,FEM,DIS,150,0,tienda,el,6,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,379.4837,380.4977,s,1,0.3356,1,380.4978,380.9977,0.3356,,,,380.9978,380.9979,0.219249132,-0.12890191,0,0,0,,0,98,98,498,1,499,MAS,DIS,150,1,cerdo,la,5,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,380.9993,382.031,l,1,0.3509,1,382.0311,382.5312,0.3509,,,,382.5313,382.5315,0.219249132,-0.12890191,0,0,0,,0,99,99,383,1,384,MAS,AGR,150,0,teatro,el,6,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,382.5327,383.631,l,1,0.4165,1,383.6311,384.1311,0.4165,,,,384.1312,384.1314,0.219249132,-0.12890191,0,0,0,,0,100,100,205,1,206,FEM,AGR,150,0,medida,la,6,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,384.1327,385.3477,l,1,0.5372,1,385.3479,385.8479,0.5372,,,,385.848,385.8483,0.219249132,-0.12890191,0,0,0,,0,101,101,107,1,108,FEM,AGR,150,0,celda,la,5,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,385.8496,386.8144,l,1,0.2953,1,386.8145,387.3144,0.2953,,,,387.3161,387.3171,0.219249132,-0.12890191,0,0,0,,0,102,102,56,1,57,FEM,DIS,150,0,pila,el,4,,,,
,,,,,,,b36df5d59851e9496fc7d319,67d30250bc6dd184d4aaad81,67d9c6cd59cc83e1932c4ecb,2025-03-18_13h18.15.401,Tarea de clasificación semántica,2024.2.5,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,387.3181,388.3312,l,1,0.3365,1,388.3312,388.8312,0.3365,,,,388.8313,388.8314,0.219249132,-0.12890191,0,0,0,,0,103,103,38,1,39,FEM,DIS,150,0,cima,el,4,,,,
