counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,break_done_touch.clicked_name,End.started,End.stopped
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,595.5959,596.6441,s,1,0.3659,1,596.6442,597.1437,0.3659,,597.1438,597.1441,-0.359166654,-0.079999987,0,0,0,,0,282,282,9,1,10,FEM,DIS,150,0,niña,el,4,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,597.1456,598.2273,l,1,0.4095,1,598.2275,598.7273,0.4095,,598.7274,598.7276,-0.359166654,-0.079999987,0,0,0,,0,283,283,452,1,453,FEM,AGR,150,1,foca,la,4,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,598.7293,599.8436,s,1,0.4358,1,599.8438,600.3433,0.4358,,600.3433,600.3435,-0.359166654,-0.079999987,0,0,0,,0,284,284,59,1,60,FEM,DIS,150,0,cuna,el,4,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,600.3449,601.4441,s,1,0.4184,1,601.4442,601.9431,0.4184,,601.9433,601.9434,-0.359166654,-0.079999987,0,0,0,,0,285,285,193,1,194,FEM,DIS,150,0,colina,el,6,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,601.945,603.2431,s,1,0.6202,1,603.2432,603.7439,0.6202,,603.7455,603.7464,-0.359166654,-0.079999987,0,0,0,,0,286,286,336,1,337,MAS,AGR,150,0,plato,el,5,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,603.7474,605.2594,s,1,0.8361,1,605.2596,605.7602,0.8361,,605.7604,605.7606,-0.359166654,-0.079999987,0,0,0,,0,287,287,28,1,29,FEM,AGR,150,0,bola,la,4,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,605.7621,606.794,l,1,0.3637,1,606.7941,607.2934,0.3637,,607.2935,607.2937,-0.359166654,-0.079999987,0,0,0,,0,288,288,508,1,509,MAS,AGR,150,1,pájaro,el,6,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,607.2953,608.6425,l,0,0.6675,0,608.6436,609.143,0.6675,,609.1431,609.1433,-0.359166654,-0.079999987,0,0,0,,0,289,289,306,1,307,MAS,AGR,150,0,huevo,el,5,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,609.1452,610.2093,s,1,0.3833,1,610.2108,610.7094,0.3833,,610.7096,610.7098,-0.359166654,-0.079999987,0,0,0,,0,290,290,123,1,124,FEM,DIS,150,0,rueda,el,5,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,610.7113,611.8087,l,1,0.4206,1,611.8089,612.3088,0.4206,,612.3103,612.3113,-0.359166654,-0.079999987,0,0,0,,0,291,291,463,1,464,FEM,DIS,150,1,cobra,el,5,,,,,
