word	frq	zipf	num_letters	Lev_N	
grupo	125.416199	5.098354	5	1.700000	
bolsa	65.949479	4.819211	5	1.650000	
banda	58.444264	4.766742	5	1.150000	
barco	115.699626	5.063332	5	1.150000	
avión	113.267781	5.054106	5	1.800000	
hotel	117.351119	5.069487	5	1.950000	
silla	52.562441	4.720676	5	1.100000	
honor	99.342495	4.997135	5	1.800000	
novio	93.296388	4.969865	5	1.850000	
reina	80.464892	4.905606	5	1.000000	
playa	49.235677	4.692280	5	1.400000	
suelo	94.753333	4.976594	5	1.150000	
banco	83.767878	4.923078	5	1.300000	
cinta	46.278554	4.665380	5	1.400000	
magia	42.307621	4.626419	5	1.250000	
fondo	71.524349	4.854454	5	1.350000	
hueso	21.357004	4.329540	5	1.550000	
éxito	69.129251	4.839662	5	1.950000	
tarea	34.564626	4.538632	5	1.200000	
costa	44.616252	4.649493	5	1.000000	
huevo	21.274862	4.327867	5	1.500000	
brazo	67.157836	4.827097	5	1.500000	
valor	68.690438	4.836896	5	1.500000	
plata	33.578918	4.526067	5	1.250000	
arena	32.787757	4.515712	5	1.000000	
pieza	30.146233	4.479233	5	1.800000	
color	66.537445	4.823066	5	1.500000	
vuelo	72.233367	4.858738	5	1.350000	
celda	28.276415	4.451424	5	1.400000	
regla	33.077417	4.519532	5	1.400000	
bruja	30.697451	4.487102	5	1.500000	
calor	63.787839	4.804738	5	1.700000	
torre	34.849962	4.542202	5	1.400000	
deuda	23.879639	4.378028	5	1.700000	
ducha	24.625404	4.391383	5	1.250000	
reloj	58.329697	4.765890	5	1.950000	
ruido	55.839488	4.746941	5	1.600000	
pasta	23.321935	4.367765	5	1.000000	
pizza	25.751619	4.410805	5	1.750000	
salsa	22.442148	4.351064	5	1.150000	
hielo	57.158088	4.757078	5	1.500000	
turno	49.903624	4.698132	5	1.450000	
humor	45.333917	4.656423	5	1.800000	
frase	19.936807	4.299656	5	1.350000	
letra	21.244599	4.327249	5	1.600000	
crema	20.535581	4.312507	5	1.450000	
cerdo	48.677974	4.687332	5	1.300000	
dueño	43.005830	4.633527	5	1.650000	
aldea	19.701188	4.294492	5	1.550000	
caída	19.188879	4.283050	5	1.400000	
tribu	17.221787	4.236078	5	1.900000	
techo	40.941464	4.612163	5	1.250000	
polvo	42.372470	4.627084	5	1.700000	
prima	20.362650	4.308834	5	1.250000	
barra	17.379587	4.240039	5	1.000000	
cueva	16.635982	4.221048	5	1.500000	
carro	37.290454	4.571598	5	1.000000	
pollo	40.684229	4.609426	5	1.200000	
rueda	18.708995	4.272050	5	1.500000	
