word	frq	zipf	num_letters	Lev_N	
fiesta	207.452603	5.316919	6	1.750000	
comida	200.273796	5.301624	6	1.600000	
tierra	256.459147	5.409018	6	1.700000	
música	137.958035	5.139747	6	1.800000	
tienda	100.918331	5.003970	6	1.600000	
cárcel	92.403631	4.965689	6	2.050000	
basura	93.263963	4.969714	6	1.650000	
locura	86.065702	4.934830	6	1.950000	
escena	82.667603	4.917335	6	1.900000	
abuela	86.735810	4.938198	6	1.800000	
salida	73.599523	4.866875	6	1.250000	
trampa	57.841167	4.762237	6	1.650000	
pareja	57.367767	4.758668	6	1.800000	
pierna	54.414967	4.735718	6	1.650000	
prensa	53.018547	4.724428	6	1.450000	
imagen	51.689139	4.713399	6	2.000000	
mirada	43.234964	4.635835	6	1.150000	
piedra	48.105139	4.682191	6	1.850000	
lengua	43.952629	4.642985	6	1.800000	
oferta	43.922366	4.642686	6	1.600000	
fuente	43.163630	4.635118	6	1.700000	
unidad	52.160376	4.717341	6	1.850000	
teoría	40.932817	4.612072	6	1.900000	
gracia	42.960436	4.633069	6	1.650000	
camisa	39.136495	4.592582	6	1.750000	
lluvia	39.454256	4.596094	6	1.850000	
cadena	33.524877	4.525367	6	1.650000	
granja	33.699970	4.527630	6	1.700000	
madera	31.168689	4.493719	6	1.450000	
bebida	31.583724	4.499463	6	1.800000	
muñeca	27.971623	4.446718	6	1.800000	
sombra	29.346426	4.467555	6	1.500000	
página	28.276415	4.451424	6	1.800000	
altura	26.713549	4.426732	6	1.800000	
maleta	26.212048	4.418501	6	1.150000	
alarma	27.681963	4.442197	6	1.550000	
cuerda	27.913259	4.445811	6	1.500000	
hierba	25.669477	4.409417	6	1.750000	
charla	25.444666	4.405597	6	1.200000	
gloria	39.897392	4.600945	6	1.700000	
parada	27.833278	4.444564	6	1.000000	
moneda	19.889251	4.298618	6	1.700000	
piedad	21.404561	4.330506	6	2.000000	
actriz	19.405043	4.287915	6	2.650000	
cabina	18.376103	4.264253	6	1.500000	
colina	18.596590	4.269433	6	1.250000	
novela	16.421980	4.215426	6	1.650000	
rutina	16.415495	4.215254	6	1.700000	
poesía	15.622173	4.193741	6	1.900000	
agenda	14.422463	4.159039	6	1.600000	
jugada	14.104702	4.149364	6	1.550000	
fianza	14.052822	4.147764	6	1.850000	
huella	13.534029	4.131427	6	1.650000	
corona	19.158616	4.282364	6	1.300000	
niebla	13.761001	4.138650	6	1.900000	
toalla	13.257339	4.122456	6	1.800000	
patada	13.039013	4.115245	6	1.000000	
medida	19.711996	4.294731	6	1.400000	
lógica	14.794265	4.170093	6	1.850000	
lupa	1.335894	3.125772	4	1.100000	
tipo	622.364295	5.794045	4	1.150000	
lado	360.215711	5.556563	4	1.000000	
