Experiment,participant,age,gender,first_language
Exp3,a72c5ce3c00840e7723f5b64,25,F,Spanish
Exp3,a83871ba02de839c32efadb3,25,F,Spanish
Exp3,af35b5dc64e29a0c5efbe810,38,NB,Spanish
Exp3,b36dc1b150759cdadaf0a57a,22,M,Spanish
Exp3,b36df5d59851e9496fc7d319,33,F,Spanish
Exp3,b435ea2889d3145f9e591e57,31,F,Spanish
Exp3,b5278bec1d387e03ddc5d2c7,31,F,Spanish
Exp3,b6f76185c807509b60f76836,27,M,Spanish
Exp3,b8780e3e38ad98d800450932,30,M,Spanish
Exp3,bd101b7f0e16005c567d7a13,28,M,Spanish
Exp3,c7a447d62d1dc20505725256,18,M,English/Spanish
Exp3,c9d5067786b7cf5eee2fb930,29,M,Spanish
Exp3,ca56deebd4b0e1101bfbd867,31,M,Spanish
Exp3,d1a05a2052b6ffc8bdf2aa06,23,M,Spanish
Exp3,d7eea95360e6db23e080dec1,28,M,Spanish
Exp3,d860a7bbb0dafc7972fa120a,24,NB,Spanish
Exp3,e07024a084e50da03e152c6e,27,M,English/Spanish
Exp3,e21469381eabe785660fa906,24,F,Spanish
Exp3,ea6b1e9979d33e7ba2abf93d,32,M,Spanish
Exp3,eee4ca88d24c355cfe4a15ee,32,M,Spanish
Exp3,fe8c02c96c54ef9fd5d0dd55,20,F,Spanish
